Depth;LFP_RHOB_B;LFP_RHOB_G;LFP_RHOB_O;LFP_RHOB_V;LFP_VP_B;LFP_VP_G;LFP_VP_O;LFP_VP_V;LFP_VS_B;LFP_VS_G;LFP_VS_O;LFP_VS_V;Vp_50oil50water;Vs_50oil50water;Rho_50oil50water;Vp_20oil80water;Vs_20oil80water;Rho_20oil80water;Vp_80oil20water;Vs_80oil20water;Rho_80oil20water;Vp_50oil50gas;Vs_50oil50gas;Rho_50oil50gas
1741.0664;2.1324;2.1324;2.1324;2.1324;2590.5361;2590.5361;2590.5361;2590.5361;1223.0309;1223.0309;1223.0309;1223.0309;2591.1916;1223.7448;2.1325;2591.1916;1223.7448;2.1325;2591.1916;1223.7448;2.1325;2591.1916;1223.7448;2.1325
1741.2188;2.1098;2.1098;2.1098;2.1098;2628.7469;2628.7469;2628.7469;2628.7469;1276.7975;1276.7975;1276.7975;1276.7975;2628.3388;1275.7785;2.1102;2628.2929;1275.7832;2.1102;2628.3898;1275.7739;2.1102;2628.6004;1275.7337;2.1102
1741.3712;2.102;2.1022;2.1022;2.1022;2705.3882;2708.7124;2706.1887;2705.9631;1366.3696;1365.2257;1366.1656;1366.2317;2705.0227;1367.2414;2.1014;2705.9921;1367.1436;2.1018;2704.0597;1367.3376;2.1012;2698.9669;1368.2345;2.1
1741.5236;2.1084;2.0637;2.1017;2.1041;2866.3706;2819.4324;2850.0926;2854.4236;1466.5018;1484.5928;1469.0877;1468.1922;2791.1834;1471.6316;2.0912;2829.896;1468.3352;2.1002;2762.0919;1474.9472;2.0821;2554.096;1509.522;1.9901
1741.676;2.1276;1.92;2.0959;2.1055;3132.5068;2956.1717;3064.8576;3080.5015;1619.9293;1707.8494;1632.2323;1628.3035;3080.2659;1626.2308;2.1063;3104.3598;1622.4806;2.116;3063.6143;1630.0071;2.0965;2978.7593;1668.2463;2.0018
1741.8284;2.1378;1.9061;2.1034;2.1114;3227.0901;3091.5909;3155.3405;3165.7715;1735.1033;1838.0501;1749.2854;1746.0244;3176.578;1743.6136;2.117;3204.1656;1739.0318;2.1281;3157.6818;1748.2318;2.1058;3048.8016;1796.8082;1.9934
1741.9808;2.1512;1.9029;2.1144;2.1193;3255.1389;3119.7685;3175.9264;3182.2516;1772.7048;1884.2098;1788.0369;1786.015;3203.5023;1780.4529;2.1314;3234.4038;1775.5094;2.1433;3182.2839;1785.4379;2.1195;3049.2712;1839.1849;1.9971
1742.1332;2.164;1.9167;2.1273;2.1292;3268.135;3128.1336;3186.0754;3188.7249;1783.3542;1895.2316;1798.5969;1797.8054;3216.1985;1791.1374;2.1449;3247.9106;1786.1779;2.1568;3194.3768;1796.1385;2.133;3056.0713;1850.4954;2.0096
1742.2856;2.1682;1.9236;2.1319;2.1331;3270.2807;3128.2055;3188.3373;3189.4984;1779.7619;1888.9672;1794.8391;1794.3449;3218.2428;1788.1583;2.1497;3250.115;1783.2875;2.1614;3196.247;1793.0692;2.1379;3055.2143;1846.4439;2.0159
1742.438;2.1663;1.9208;2.1299;2.1305;3270.4033;3136.241;3190.5249;3191.3933;1759.6397;1868.7724;1774.6109;1774.3483;3220.1062;1767.4898;2.1476;3251.0832;1762.6451;2.1594;3198.8372;1772.3746;2.1358;3064.4303;1825.438;2.0135
1742.5904;2.1626;1.9152;2.1259;2.1262;3254.9163;3118.2181;3174.0002;3174.3015;1753.3852;1863.2429;1768.478;1768.3638;3204.8984;1761.0339;2.1438;3236.3191;1756.1595;2.1557;3183.2991;1765.9492;2.1319;3045.8543;1819.3446;2.0086
1742.7428;2.1566;1.9064;2.1195;2.1195;3217.0685;3060.3475;3130.1443;3130.2231;1752.1407;1863.4511;1767.4276;1767.4196;3162.7146;1760.1047;2.1375;3196.3214;1755.1654;2.1495;3139.4156;1765.0861;2.1255;2988.0745;1819.2104;2.0009
1742.8952;2.147;1.8925;2.1092;2.1092;3202.6718;3047.2012;3115.9474;3115.8502;1745.4363;1858.8639;1760.9602;1760.9931;3147.6679;1753.3478;2.1275;3181.2794;1748.3233;2.1398;3124.4098;1758.4159;2.1153;2973.921;1813.5435;1.9887
1743.0476;2.1373;1.8779;2.0988;2.0986;3196.9077;3052.3214;3112.4071;3112.2244;1728.4799;1844.6079;1744.3244;1744.3848;3143.8945;1737.3437;2.1176;3176.7966;1732.2424;2.1301;3121.2579;1742.4904;2.1051;2976.5716;1798.4955;1.9761
1743.2;2.1334;1.8752;2.0951;2.095;3177.4209;3035.0852;3094.4493;3094.3443;1697.8411;1810.7894;1713.266;1713.2997;3124.3865;1706.0796;2.1131;3156.5636;1701.0788;2.1256;3102.2782;1711.1248;2.1007;2963.4144;1765.8881;1.9723
1743.3524;2.1325;1.879;2.095;2.095;3158.8179;3005.7383;3075.3132;3075.3061;1686.7559;1796.5924;1701.7859;1701.7868;3103.971;1694.969;2.1119;3136.4366;1690.1041;2.124;3081.5316;1699.8762;2.0997;2939.7211;1752.6627;1.9751
1743.5048;2.1279;1.8773;2.0907;2.0908;3139.1337;2976.1211;3054.6343;3054.69;1683.3674;1792.4082;1698.3006;1698.2863;3084.2927;1691.7572;2.1069;3117.1667;1686.9211;2.119;3061.4853;1696.6352;2.0948;2916.6443;1748.8566;1.9716
1743.6572;2.1188;1.8644;2.0811;2.0811;3099.3181;2918.8985;3009.4305;3009.4824;1679.8554;1791.0387;1695.0238;1695.0107;3040.954;1688.5066;2.0974;3076.1554;1683.6045;2.1096;3016.3292;1693.4518;2.0852;2855.272;1746.3574;1.9607
1743.8096;2.1115;1.8457;2.0721;2.072;3084.1415;2902.5966;2990.4963;2990.4262;1674.3616;1790.7115;1690.2028;1690.2142;3023.878;1682.9021;2.0901;3060.0686;1677.7777;2.1029;2998.6249;1688.0737;2.0773;2833.9306;1744.0495;1.9462
1743.962;2.1094;1.8364;2.0689;2.0688;3084.2777;2910.4049;2989.7771;2989.6005;1668.8369;1788.9221;1685.1143;1685.176;3024.4698;1677.208;2.0884;3060.9375;1671.9515;2.1016;2999.1327;1682.5143;2.0753;2833.8408;1740.4916;1.9393
1744.1144;2.1081;1.8329;2.0673;2.067;3085.8581;2916.9743;2992.1972;2991.8224;1663.2509;1783.7381;1679.5931;1679.7115;3026.7818;1671.6281;2.0872;3062.874;1666.3487;2.1004;3001.7603;1676.958;2.0739;2839.5676;1735.2888;1.9368
1744.2668;2.1039;1.8283;2.063;2.0627;3085.7716;2921.7906;2993.6335;2993.1483;1658.6793;1779.2292;1675.0322;1675.1814;3027.3491;1667.07;2.0829;3062.9335;1661.7825;2.0961;3002.7319;1672.4083;2.0696;2844.2227;1730.7829;1.9323
1744.4192;2.0999;1.8229;2.0587;2.0584;3087.5615;2929.8441;2997.3515;2996.8927;1656.0956;1777.6533;1672.5511;1672.6999;3030.1493;1664.6898;2.0783;3065.1339;1659.3826;2.0917;3006.0127;1670.0484;2.065;2851.637;1728.5579;1.9276
1744.5716;2.0985;1.8185;2.057;2.0566;3091.3288;2938.615;3001.2202;3000.7943;1655.0444;1777.7723;1671.6573;1671.8019;3034.1819;1663.4782;2.0772;3069.0069;1658.1077;2.0907;3010.2275;1668.9011;2.0637;2858.201;1728.357;1.9242
1744.724;2.0968;1.8159;2.0551;2.0548;3091.8264;2940.5163;3002.0213;3001.6164;1655.8387;1779.2814;1672.5407;1672.6766;3035.0763;1664.3128;2.0754;3069.7798;1658.918;2.089;3011.2276;1669.7606;2.0619;2860.2778;1729.4905;1.9219
1744.8764;2.0946;1.8129;2.0528;2.0524;3087.9192;2935.8464;2997.7893;2997.4018;1656.7216;1780.7367;1673.4945;1673.6256;3030.8251;1665.2932;2.0731;3065.712;1659.8743;2.0867;3006.8407;1670.7656;2.0595;2854.6577;1730.765;1.9192
1745.0288;2.0933;1.8121;2.0516;2.0512;3084.4333;2930.6117;2994.2124;2993.8374;1657.1987;1781.1555;1673.966;1674.0924;3027.0515;1665.7769;2.0716;3061.9429;1660.3588;2.0852;3003.0516;1671.2484;2.0581;2851.028;1731.1514;1.9181
1745.1812;2.0926;1.8123;2.051;2.0507;3080.87;2924.362;2990.3402;2989.9609;1657.985;1781.6166;1674.7129;1674.8394;3023.1861;1666.6696;2.0709;3058.2416;1661.2642;2.0844;2999.0403;1672.1281;2.0574;2845.5379;1731.809;1.9181
1745.3336;2.0911;1.8098;2.0494;2.0491;3076.6794;2919.1495;2985.6028;2985.2103;1656.8855;1781.0385;1673.6769;1673.8083;3018.6019;1665.6187;2.0695;3053.8458;1660.1934;2.0831;2994.319;1671.0976;2.056;2839.873;1731.0334;1.9161
1745.486;2.0871;1.8029;2.045;2.0446;3065.1342;2905.5967;2972.9354;2972.5314;1652.7644;1778.2901;1669.7218;1669.8565;3007.3939;1661.6093;2.0653;3042.96;1656.1335;2.079;2982.8865;1667.1398;2.0516;2826.9184;1727.709;1.9103
1745.6384;2.0864;1.8004;2.0439;2.0436;3051.9432;2885.0103;2957.0942;2956.6758;1649.1986;1775.2751;1666.2183;1666.3521;2991.4961;1657.9059;2.0646;3028.0728;1652.4054;2.0783;2966.2154;1663.4617;2.0508;2803.6633;1724.4687;1.9082
1745.7908;2.0876;1.8024;2.0453;2.045;3063.4291;2903.3427;2970.5761;2970.1855;1649.2469;1775.0049;1666.2293;1666.3595;3004.592;1657.8047;2.0658;3040.4152;1652.3207;2.0796;2979.9007;1663.3436;2.0521;2822.3685;1724.1243;1.91
1745.9432;2.0895;1.8052;2.0473;2.047;3072.6654;2916.6541;2981.0394;2980.6611;1651.6551;1776.9549;1668.5836;1668.7105;3014.6493;1660.3144;2.0679;3050.055;1654.846;2.0816;2990.281;1665.8375;2.0542;2835.3352;1726.4422;1.9125
1746.0956;2.0908;1.8076;2.0488;2.0485;3078.8784;2924.8461;2988.0023;2987.6272;1653.7162;1778.5683;1670.5924;1670.7185;3021.2283;1662.3257;2.0691;3056.3474;1656.8738;2.0827;2997.0746;1667.8318;2.0555;2843.9049;1728.2087;1.9144
1746.248;2.0953;1.8136;2.0535;2.0532;3084.5485;2928.5835;2993.2495;2992.9052;1658.7026;1782.8597;1675.4967;1675.6124;3026.7122;1667.1848;2.0739;3061.924;1661.7607;2.0874;3002.47;1672.6623;2.0603;2848.3558;1732.7334;1.9199
1746.4004;2.1;1.8218;2.0588;2.0585;3089.1039;2928.7484;2997.3093;2997.0333;1668.0459;1790.8621;1684.685;1684.7737;3031.103;1676.4354;2.0787;3066.6043;1671.0561;2.0921;3006.5941;1681.8669;2.0653;2849.2686;1741.3366;1.9266
1746.5528;2.1033;1.8308;2.0628;2.0627;3095.356;2930.4995;3004.4249;3004.2223;1675.4897;1795.7731;1691.8283;1691.8978;3036.7574;1684.0449;2.0818;3071.9658;1678.7611;2.0949;3012.391;1689.3789;2.0686;2856.2436;1747.4185;1.9335
1746.7052;2.1033;1.8321;2.063;2.0629;3105.7356;2948.8944;3017.1644;3016.9404;1676.9118;1796.8711;1693.1816;1693.2504;3048.3883;1685.5964;2.0817;3082.7639;1680.3364;2.0948;3024.667;1690.9061;2.0687;2874.0608;1748.5641;1.9345
1746.8576;2.1014;1.8265;2.0606;2.0604;3104.54;2949.5805;3015.4896;3015.2281;1673.9931;1795.5412;1690.4974;1690.589;3048.5774;1682.9337;2.08;3083.0251;1677.6022;2.0932;3024.8505;1688.3165;2.0667;2874.2826;1747.0146;1.9302
1747.01;2.0983;1.8178;2.0566;2.0564;3086.8394;2929.2483;2995.1844;2994.8336;1661.4122;1784.8755;1678.127;1678.2427;3028.8691;1670.0063;2.077;3064.1729;1664.6049;2.0905;3004.5412;1675.4606;2.0635;2849.6796;1735.2565;1.9237
1747.1624;2.0919;1.8085;2.0498;2.0495;3080.1064;2925.9744;2989.1139;2988.7149;1654.3541;1779.3021;1671.2436;1671.3786;3022.4074;1662.9341;2.0703;3057.5471;1657.4823;2.084;2998.2411;1668.4401;2.0567;2845.008;1728.8386;1.9155
